,expiration_month,expiration_year,Drug_Id,group
0,11,2018,1454,10.0
1,8,2018,368,7.0
2,8,2018,384,7.0
3,8,2018,545,7.0
4,8,2018,826,7.0
5,5,2018,428,4.0
6,8,2018,1251,7.0
7,8,2018,1347,7.0
8,8,2018,407,7.0
9,8,2018,1219,7.0
10,5,2018,771,4.0
11,5,2018,292,4.0
12,5,2018,1331,4.0
13,4,2018,703,3.0
14,6,2018,66,5.0
15,12,2018,265,11.0
16,5,2018,713,4.0
17,5,2018,267,4.0
18,6,2018,847,5.0
19,6,2018,443,5.0
20,5,2018,963,4.0
21,11,2018,1290,10.0
22,8,2018,529,7.0
23,5,2018,1096,4.0
24,9,2018,1388,8.0
25,9,2018,1900,8.0
26,8,2018,825,7.0
27,6,2018,1942,5.0
28,5,2018,1743,4.0
29,5,2018,545,4.0
30,5,2018,1369,4.0
31,5,2018,1744,4.0
32,6,2018,1467,5.0
33,5,2018,1118,4.0
34,5,2018,1466,4.0
35,5,2018,285,4.0
36,5,2018,859,4.0
37,5,2018,673,4.0
38,5,2018,1648,4.0
39,7,2018,1737,6.0
40,4,2018,416,3.0
41,5,2018,1355,4.0
42,5,2018,1520,4.0
43,12,2018,28,11.0
44,8,2018,1353,7.0
45,5,2018,1784,4.0
46,5,2018,713,4.0
47,5,2018,542,4.0
48,5,2018,1761,4.0
49,4,2018,1448,3.0
50,5,2018,1822,4.0
51,6,2018,240,5.0
52,5,2018,504,4.0
53,6,2018,588,5.0
54,4,2018,445,3.0
55,5,2018,504,4.0
56,4,2018,547,3.0
57,8,2018,1311,7.0
58,6,2018,142,5.0
59,5,2018,680,4.0
60,12,2018,592,11.0
61,5,2018,952,4.0
62,5,2018,1927,4.0
63,5,2018,318,4.0
64,5,2018,1369,4.0
65,4,2018,993,3.0
66,5,2018,519,4.0
67,5,2018,1242,4.0
68,6,2018,240,5.0
69,5,2018,1933,4.0
70,5,2018,260,4.0
71,6,2018,487,5.0
72,5,2018,944,4.0
73,6,2018,1164,5.0
